Mã,Mã ngành,Điểm chuẩn,Chỉ tiêu
FBU,7480201,15.5,50
FPT,7480101,0,0
FPT,7480103,0,0
FPT,7480202,0,0
GTA,7480102,15.5,240
GTA,7480104,16,640
GTA,7480104TN,16,120
GTA,7480104VP,16,120
GTA,7480201,17,320
GTS,7480102,17.5,60
GTS,7480201,19.5,100
HDT,7480201,13,70
HHA,7480201D114,18.5,100
HHA,7480201D118,17,45
HHA,7480201D119,15.5,45
HHA,7480201H114,14,60
HHT,7480201,13.5,80
HIU,7480201,14,100
HLU,7480101,14,50
HNM,7480201,23.93,40
HUI,7480103C,16,120
HUI,7480108,16,70
HUI,7480201,18.75,250
HVN,7480201,17,105
HVN,7480201P,17,50
HVQ,7480201,16,200
KCC,7480101,14.5,50
KCC,7480104,14.25,70
KCC,7480103,16,70
KCN,7480201,18,120
KCN,7480202,17.3,30
KHA,7480101,21.5,60
KHA,7480201,21.75,120
KMA,7480202,19,420
KMA,7480201,20.15,200
KSA,7480103_01,19..0,50
KTA,7480201,16,100
KTC,7480201,18,120
KTD,7480201,15.5,150
LNH,7480104,13,70
MBS,7480101,17,150
MBS,7480201,18.25,100
MDA,7480201,14,580
MHN,7480201,18.75,330
NHF,7480201,20.6,200
NLS,7480201,18.15,210
NTT,7480201,15.5,250
QHI,7480106,21,100
QHI,7480101,22,140
QHI,7480102,23.75,60
QHI,7480104,23.75,60
QHI,7480201,23.75,240
QHI,7480201NB,23.75,60
QHQ,7480111,15,40
QHT,7480110CLC,18.45,50
QHT,7480110QTD,20.15,70
QSC,7480101,22.4,90
QSC,7480101_CLCA,20.25,90
QSC,7480102,21.2,80
QSC,7480102_CLCA,18.6,50
QSC,7480103,23.2,100
QSC,7480103_CLCA,21.5,100
QSC,7480104,21.1,60
QSC,7480104_CLCA,19,50
QSC,7480104_TT,17,40
QSC,7480106,21.7,70
QSC,7480106_CLCA,18.4,80
QSC,7480201,22.5,140
QSC,7480201_BT,20.5,70
QSC,7480201_CLCN,19,50
QSC,7480201_KHDL,20.6,50
QSC,7480202,22.25,70
QSC,7480202_CLCA,20.1,50
QSQ,7480201,19,120
QSQ,7489001,17,40
QST,7480201,22.75,550
QST,7480201_CLC,21.2,100
QST,7480201_TT,21.4,60
QST,7480201_VP,20.1,40
SDU,7480201,14,80
SGD,7480103,16.54,50
SGD,7480201,18.29,350
SGD,7480201CLC,16.53,60
SKH,7480201,15,250
SKN,7480101,18,20
SKN,7480201,18,150
SKV,7480108,13.5,45
SKV,7480201,14,120
SP2,7480201,20,50
SPD,7480101,14.2,40
SPH,7480201A,16.05,90
SPH,7480201B,16.05,30
SPK,7480108A,18.1,30
SPK,7480108C,18.9,60
SPK,7480108D,20.6,60
SPK,7480201A,20,60
SPK,7480201C,20.2,150
SPK,7480201D,21.8,150
SPK,7480203D,19.1,60
SPS,7480201,17,200
TAG,7480103,15,60
TAG,7480201,16,150
TBD,7480201,13,100
TCT,7480101,15.75,120
TCT,7480102,15.75,120
TCT,7480103,17.75,140
TCT,7480104,15,100
TCT,7480106,15.25,120
TCT,7480201,18.25,240
TCT,7480201C,15,40
TCT,7480201H,14,80
TCU,7480201,20.25,40
TDD,7480201,14.5,120
TDL,7480201,14,200
TDM,7480103,14,130
TDM,7480104,14,130
TDV,7480201,14,250
THP,7480201,14,150
THV,7480201,14,55
TKG,7480201,21,110
TLA,7480201,17.95,340
TLA,7480104,16,70
TLA,7480103,16,70
TSN,7480201,15.5,200
TTB,7480201,13,100
TTG,7480201,13,80
TTG,7480104,13,50
TTN,7480201,13,80
TTQ,7480101,15,50
TTU,7480101,0,25
UKB,7480201,15,200
VGU,7480101,20.1,90
VHD,7480201,14,300
VLU,7480201,15,200
VUI,7480201,13,150
XDA,7480201,19,115
ZPH,7480101,20.25,40
