Mã,Mã ngành,Điểm chuẩn,Chỉ tiêu
FBU,7480201,15.5,50.0
FPT,7480101,XT,
FPT,7480103,XT,
FPT,7480202,XT,
GTA,7480102,15.5,240.0
GTA,7480104,16.0,640.0
GTA,7480104TN,16.0,120.0
GTA,7480104VP,16.0,120.0
GTA,7480201,17.0,320.0
GTS,7480102,17.5,60.0
GTS,7480201,19.5,100.0
HDT,7480201,13.0,70.0
HHA,7480201D114,18.5,100.0
HHA,7480201D118,17.0,45.0
HHA,7480201D119,15.5,45.0
HHA,7480201H114,14,60.0
HHT,7480201,13.5,80.0
HIU,7480201,14,100.0
HLU,7480101,14,50.0
HNM,7480201,23.93,40.0
HUI,7480103C,16.0,120.0
HUI,7480108,16.0,70.0
HUI,7480201,18.75,250.0
HVN,7480201,17.0,105.0
HVN,7480201P,17.0,50.0
HVQ,7480201,16.0,200.0
KCC,7480101,14.5,50.0
KCC,7480104,14.25,70.0
KCC,7480103,16.0,70.0
KCN,7480201,18.0,120.0
KCN,7480202,17.3,30.0
KHA,7480101,21.5,60.0
KHA,7480201,21.75,120.0
KMA,7480202,19,420.0
KMA,7480201,20.15,200.0
KSA,7480103_01,19..0,50.0
KTA,7480201,16.0,100.0
KTC,7480201,18.0,120.0
KTD,7480201,15.5,150.0
LNH,7480104,13.0,70.0
MBS,7480101,17.0,150.0
MBS,7480201,18.25,100.0
MDA,7480201,14,580.0
MHN,7480201,18.75,330.0
NHF,7480201,20.6,200.0
NLS,7480201,18.15,210.0
NTT,7480201,15.5,250.0
QHI,7480106,21.0,100.0
QHI,7480101,22.0,140.0
QHI,7480102,23.75,60.0
QHI,7480104,23.75,60.0
QHI,7480201,23.75,240.0
QHI,7480201NB,23.75,60.0
QHQ,7480111,15.0,40.0
QHT,7480110CLC,18.45,50.0
QHT,7480110QTD,20.15,70.0
QSC,7480101,22.4,90.0
QSC,7480101_CLCA,20.25,90.0
QSC,7480102,21.2,80.0
QSC,7480102_CLCA,18.6,50.0
QSC,7480103,23.2,100.0
QSC,7480103_CLCA,21.5,100.0
QSC,7480104,21.1,60.0
QSC,7480104_CLCA,19.0,50.0
QSC,7480104_TT,17.0,40.0
QSC,7480106,21.7,70.0
QSC,7480106_CLCA,18.40,80.0
QSC,7480201,22.5,140.0
QSC,7480201_BT,20.5,70.0
QSC,7480201_CLCN,19,50.0
QSC,7480201_KHDL,20.6,50.0
QSC,7480202,22.25,70.0
QSC,7480202_CLCA,20.10,50.0
QSQ,7480201,19.0,120.0
QSQ,7489001,17.0,40.0
QST,7480201,22.75,550.0
QST,7480201_CLC,21.20,100.0
QST,7480201_TT,21.40,60.0
QST,7480201_VP,20.10,40.0
SDU,7480201,14,80.0
SGD,7480103,16.54,50.0
SGD,7480201,18.29,350.0
SGD,7480201CLC,16.53,60.0
SKH,7480201,15.0,250.0
SKN,7480101,18.0,20.0
SKN,7480201,18.0,150.0
SKV,7480108,13.5,45.0
SKV,7480201,14,120.0
SP2,7480201,20.0,50.0
SPD,7480101,14.20,40.0
SPH,7480201A,16.05,90.0
SPH,7480201B,16.05,30.0
SPK,7480108A,18.10,30.0
SPK,7480108C,18.90,60.0
SPK,7480108D,20.60,60.0
SPK,7480201A,20.00,60.0
SPK,7480201C,20.20,150.0
SPK,7480201D,21.80,150.0
SPK,7480203D,19.10,60.0
SPS,7480201,17.00,200.0
TAG,7480103,15.0,60.0
TAG,7480201,16.00,150.0
TBD,7480201,13.0,100.0
TCT,7480101,15.75,120.0
TCT,7480102,15.75,120.0
TCT,7480103,17.75,140.0
TCT,7480104,15.0,100.0
TCT,7480106,15.25,120.0
TCT,7480201,18.25,240.0
TCT,7480201C,15.0,40.0
TCT,7480201H,14,80.0
TCU,7480201,20.25,40.0
TDD,7480201,14.5,120.0
TDL,7480201,14.00,200.0
TDM,7480103,14.00,130.0
TDM,7480104,14.00,130.0
TDV,7480201,14.00,250.0
THP,7480201,14.00,150.0
THV,7480201,14.00,55.0
TKG,7480201,21.0,110.0
TLA,7480201,17.95,340.0
TLA,7480104,16.0,70.0
TLA,7480103,16.0,70.0
TSN,7480201,15.5,200.0
TTB,7480201,13.0,100.0
TTG,7480201,13.0,80.0
TTG,7480104,13.0,50.0
TTN,7480201,13.0,80.0
TTQ,7480101,15.0,50.0
TTU,7480101,XT,25.0
UKB,7480201,15.0,200.0
VGU,7480101,20.10,90.0
VHD,7480201,14.00,300.0
VLU,7480201,15.0,200.0
VUI,7480201,13.0,150.0
XDA,7480201,19.00,115.0
ZPH,7480101,20.25,40.0
